"<paladyn>#8056","4611686018478013482",1.37,1.12,1.56,1.67,5.72
"Alice ❤#9033","4611686018479632974",0.87,1,1.44,0.74,4.05
"ReapersStrike#0108","4611686018430991273",1.96,1.77,2.27,1.67,7.67
"LiL__ChiLLa#5250","4611686018436855182",1.72,1.53,2.02,2.17,7.44
"Sierra#3605","4611686018460821429",0.58,0.73,0.91,0.49,2.71
"Mallux#5493","4611686018464710984",2.06,1.92,2.69,3.18,9.85
"Architect#8799","4611686018474352716"
"Cry Bot#8034","4611686018452385693"
"Generic#0866","4611686018445127062"
"DLH3LIX#6618","4611686018433996559"
"jungle-cat#3982","4611686018449695596"
"Saye#8476","4611686018501505651"
"Miniatimat#8149","4611686018431617573"
"MPVKB#1715","4611686018460496567"
"HOLYKHaos#9298","4611686018444119525"
"Syrial#9628","4611686018482417109"
"Satire#3284","4611686018455525788"
"iDarknesslll#7448","4611686018465778038"